Year Month,Postal Code,Customer Class,Total Gallons
201201,,Irrigation - Residential,53500
201201,78613,Irrigation - Multi-Family,11000
201201,78613,Multi-Family,23000
201201,78617,Multi-Family,2477000
201201,78617,Residential,19814500
201201,78652,Irrigation - Residential,38500
201201,78652,Multi-Family,116900
201201,78652,Residential,632300
201201,78653,Multi-Family,120100
201201,78653,Residential,1578000
201201,78660,Multi-Family,173400
201201,78660,Residential,7208400
201201,78701,Irrigation - Multi-Family,204400
201201,78701,Multi-Family,12638000
201201,78701,Residential,1180900
201201,78702,Irrigation - Multi-Family,391100
201201,78702,Irrigation - Residential,0
201201,78702,Multi-Family,10511200
201201,78702,Residential,28371300
201201,78703,Irrigation - Multi-Family,411900
201201,78703,Irrigation - Residential,784300
201201,78703,Multi-Family,12274000
201201,78703,Residential,43184900
201201,78704,Irrigation - Multi-Family,836600
201201,78704,Irrigation - Residential,104800
201201,78704,Multi-Family,48585100
201201,78704,Residential,41373500
201201,78705,Irrigation - Multi-Family,364100
201201,78705,Irrigation - Residential,28100
201201,78705,Multi-Family,23422700
201201,78705,Residential,8339700
201201,78712,Residential,0
201201,78717,Irrigation - Multi-Family,1491000
201201,78717,Irrigation - Residential,0
201201,78717,Multi-Family,8487500
201201,78717,Residential,24385200
201201,78719,Multi-Family,772700
201201,78719,Residential,1631000
201201,78721,Irrigation - Multi-Family,0
201201,78721,Irrigation - Residential,5900
201201,78721,Multi-Family,5062900
201201,78721,Residential,15843000
201201,78722,Irrigation - Multi-Family,0
201201,78722,Irrigation - Residential,0
201201,78722,Multi-Family,2478800
201201,78722,Residential,8107200
201201,78723,Irrigation - Multi-Family,180700
201201,78723,Multi-Family,21808300
201201,78723,Residential,33500600
201201,78724,Irrigation - Multi-Family,393100
201201,78724,Irrigation - Residential,18800
201201,78724,Multi-Family,11765200
201201,78724,Residential,21197300
201201,78725,Irrigation - Multi-Family,0
201201,78725,Multi-Family,249200
201201,78725,Residential,2119300
201201,78726,Irrigation - Multi-Family,1998700
201201,78726,Irrigation - Residential,2900
201201,78726,Multi-Family,11858900
201201,78726,Residential,13746100
201201,78727,Irrigation - Multi-Family,1784400
201201,78727,Irrigation - Residential,1000
201201,78727,Multi-Family,19829600
201201,78727,Residential,34837000
201201,78728,Irrigation - Multi-Family,301300
201201,78728,Multi-Family,7676600
201201,78728,Residential,3602300
201201,78729,Irrigation - Multi-Family,1301000
201201,78729,Irrigation - Residential,1800
201201,78729,Multi-Family,21284600
201201,78729,Residential,19736700
201201,78730,Irrigation - Multi-Family,539200
201201,78730,Irrigation - Residential,224700
201201,78730,Multi-Family,5455800
201201,78730,Residential,5076500
201201,78731,Irrigation - Multi-Family,660300
201201,78731,Irrigation - Residential,209300
201201,78731,Multi-Family,16367600
201201,78731,Residential,50795300
201201,78733,Residential,24400
201201,78735,Irrigation - Multi-Family,819400
201201,78735,Multi-Family,9993800
201201,78735,Residential,16583000
201201,78736,Irrigation - Multi-Family,260900
201201,78736,Irrigation - Residential,2300
201201,78736,Multi-Family,3374700
201201,78736,Residential,11165800
201201,78737,Irrigation - Residential,5200
201201,78737,Residential,4944000
201201,78738,Residential,7500
201201,78739,Irrigation - Residential,0
201201,78739,Residential,31948400
201201,78741,Irrigation - Multi-Family,1931100
201201,78741,Irrigation - Residential,4600
201201,78741,Multi-Family,77097400
201201,78741,Residential,18864300
201201,78742,Multi-Family,387000
201201,78742,Residential,713900
201201,78744,Irrigation - Multi-Family,577000
201201,78744,Irrigation - Residential,2500
201201,78744,Multi-Family,23982200
201201,78744,Residential,52172400
201201,78745,Irrigation - Multi-Family,848100
201201,78745,Irrigation - Residential,10500
201201,78745,Multi-Family,34810900
201201,78745,Residential,75276400
201201,78746,Irrigation - Multi-Family,373500
201201,78746,Irrigation - Residential,191800
201201,78746,Multi-Family,13458100
201201,78746,Residential,24282100
201201,78747,Irrigation - Multi-Family,155300
201201,78747,Irrigation - Residential,79900
201201,78747,Multi-Family,6411000
201201,78747,Residential,20630200
201201,78748,Irrigation - Multi-Family,2642400
201201,78748,Irrigation - Residential,0
201201,78748,Multi-Family,14504100
201201,78748,Residential,62632700
201201,78749,Irrigation - Multi-Family,2481200
201201,78749,Irrigation - Residential,17300
201201,78749,Multi-Family,15270700
