"","TCAD.or.WCAD.Property.ID..s.","Duct.System.1...Type","Duct.System.1...RValue","Duct.System.1...Return.Sizing","Duct.System.1.....Leakage","System.1...Location.Air.Handler","System.1...Air.Handler.Type","System.1...Age..years.","System.1...sqft.ton","Water.Heater...Fuel.Type","Water.Heating...Tank.Type","Toilet.Type","Programmable.Thermostat.Present","Window.Screen.Area.Recommended..sqft.","Furnace...Fuel.Type","Attic.R.Value","Recommended.Additional.R.Value","Year.Built","Bedrooms","Conditioned..sqft.","Attic..sqft.","Home_Type","Lat","Long","set","NeedsDuctFixed"
"5","574898","Mylar_Flex",4,"Adequate",7,"Closet","Up Flow",15,542,"Elec","Tank","Water_Saving","Y",55,"Gas",25,0,1982,3,1356,1036,"Single Family",30.1927856640004,-97.8269286599997,"train","0"
"6","534406","Mylar_Flex",6,"Adequate",19,"Attic","Horizontal",11,540,"Gas","Tank","Water_Saving","Y",0,"Gas",30,8,2002,4,2160,2160,"Single Family",30.1457077530005,-97.8116521459997,"train","0"
"7","216111","Mylar_Flex",8,"Adequate",14,"Attic","Horizontal",17,435,"Elec","Tank","Water_Saving","Y",116,"Elec",19,19,1934,2,870,870,"Single Family",30.3076354890005,-97.7213326259997,"train","0"
"10","207026","Mylar_Flex",6,"Adequate",21,"Attic","Horizontal",17,524,"Gas","Tank","Water_Saving","N",0,"Gas",19,19,1939,2,1064,1064,"Single Family",30.2862462380004,-97.7221368409997,"test","0"
"11","204835","Sheet_Metal",4,"Adequate",58,"Closet","Up Flow",11,496,"Elec","Tank","Water_Saving","N",0,"Gas",22,16,1968,3,1242,0,"Single Family",30.3472123430005,-97.7618080959997,"train","1"
"12","728350","Mylar_Flex",6,"Adequate",17,"Closet","Up Flow",6,427,"Elec","Tank","Water_Saving","N",20,"Elec",0,0,1980,1,641,0,"Condo",30.2441558750004,-97.7547685079997,"test","0"
"13","306113","Mylar_Flex",6,"Adequate",11,"Attic","Horizontal",8,470,"Gas","Tank","Water_Saving","Y",0,"Elec",48,0,1975,3,1880,1880,"Single Family",30.2440338800005,-97.8234654469996,"test","0"
"15","136391","Mylar_Flex",5,"Adequate",50.2,"Attic","Horizontal",14,581,"Gas","Tank","Water_Saving","Y",92,"Gas",20,18,1990,3,2325,1000,"Single Family",30.3601223790005,-97.7771159639997,"train","1"
"16","156439","Grey_Flex",6,"Adequate",21,"Attic","Horizontal",7,510,"Elec","Tank","Standard","N",0,"Elec",35,0,1991,3,2553,1275,"Single Family",30.4081575130004,-97.7605673769997,"train","0"
"17","325429","Grey_Flex",6,"Adequate",14.7,"Attic","Horizontal",10,576,"Elec","Tank","Water_Saving","Y",15,"Elec",0,0,1967,3,864,864,"Single Family",30.2056270320005,-97.7818429269997,"train","0"
"19","733527","Mylar_Flex",8,"Adequate",8,"Attic","Horizontal",6,625,"Gas","Tank","Water_Saving","Y",0,"Gas",27,0,2008,3,1563,1563,"Single Family",30.1888806650005,-97.7995687999997,"train","0"
"20","118300","Mylar_Flex",6,"Adequate",9.3,"Attic","Horizontal",15,572,"Gas","Tank","Water_Saving","Y",0,"Gas",28,10,1999,3,1715,1565,"Single Family",30.3025247630005,-97.7577271639997,"train","0"
"22","426034","Sheet_Metal",4,"Adequate",23,"Closet","Up Flow",9,310,"Elec","Tank","Water_Saving","N",0,"Gas",11,27,1968,1,620,0,"Condo",30.3277147850005,-97.7335450739997,"train","0"
"23","242093","Sheet_Metal",6,"Inadequate",13,"Closet","Up Flow",3,580,"Gas","Tank","Standard","Y",0,"Gas",22,16,1970,4,1740,1295,"Single Family",30.3539743300005,-97.6760396209997,"train","0"
"27","347926","Grey_Flex",6,"Inadequate",8,"Closet","Up Flow",21,565,"Gas","Tank","Standard","N",222,"Gas",26,12,1993,3,1696,840,"Single Family",30.1631813460004,-97.8155002929997,"test","0"
"28","499768","Grey_Flex",6,"Adequate",21,"Closet","Up Flow",12,457,"Gas","Tank","Standard","N",0,"Gas",17.6,20.4,1983,2,913,913,"Duplex",30.2939176580005,-97.6310154749997,"train","0"
